


a	à
Minimal pairs for [a] vs. [à] in initial position:
albaro 	àlbaro 		
Minimal pairs for [a] vs. [à] in medial position:		
adotar 	adotàr 		
bataja 	batàja 		
batajar 	batajàr 		
bordar 	bordàr 		
botanego 	botànego 		
britaneghe 	britàneghe 			
cao 	cào 		
capitan 	capitàn 			
ciamame 	ciàmame 				
clasego 	clàsego 		
cofa 	cofà 			
consonante 	consonànte 		
corasa 	coràsa 			
descoverxar 	descoverxàr 		
dia£eta£i 	dia£età£i 		
dopara 	doparà 	dopera 	doperà	
doparar 	doparàr 		 			
farghe£a 	fàrghe£a 				
grafego 	gràfego 		
indrioman 	indriomàn 				
interdenta£i 	interdentà£i 			
lontan 	lontàn 			
majo 	màjo 			
mascio 	màscio 				
menaso 	menàso 				
nda 	ndà 			
osidenta£i 	osidentà£i 		
paca 	pacà 		
paso 	pàso 		
paxe 	pàxe 		
pensa 	pensà 		
pesa 	pesà 	pexa 	pexà 		
pra 	prà 		
proar 	proàr 			
pronunsia 	pronunsià 	pronunzia 	pronunzià 		
pronunsiar 	pronunsiàr 		
resitar 	resitàr 		
rimarcar 	rimarcàr 			
rixaltar 	rixaltàr 		
salvadego 	salvàdego 			
scianta 	sciànta 		
sciao 	sciào 		
sciapo 	sciàpo 				
scrivar 	scrivàr 		
scuriato£i 	scuriàto£i 		
si£abeghe 	si£àbeghe 		
specia£i 	specià£i 			
standoghe 	stàndoghe 			
talian 	taliàn 			
vantaxo 	vantàxo 		
venesian 	venesiàn 			
voca£e 	vocà£e 		voca£i 	vocà£i 		
xa 	xà 		
xugar 	xugàr 				

e	è
Minimal pairs for [e] vs. [è] in initial position:
e 	è 		
esar 	èsar 		

Minimal pairs for [e] vs. [è] in medial position:
bei 	bèi 		
caste£o 	castè£o 		
coreta 	corèta 		
de 	dè 		
dei 	dèi 		
deso 	dèso 		
dia£eti 	dia£èti 		dia£eto 	dia£èto 		
direto 	dirèto 		
feto 	fèto 		
fonedega 	fonèdega 		
