Home > Text Tools >Compleat Lister Input > Output
--------------------------------------------------------------------------------

C:\Documents and Settings\Sapi\Desktop\padovan2.TXT
53535 bytes
9926 words (tokens)
ALPHA FREQ
ORDER
a _134
abituà _1
abitudine _1
abituemo _1
aceta _1
acetà _1
acetare _2
acetavimo _1
aceto _1
aconpagna _1
acorsessimo _1
acorto _2
acorzevo _1
acorzo _1
acumulà _1
adata _1
adatà _1
adeguarse _1
adiritura _1
adotà _1
aereo _1
africa _1
ah _1
ahi _1
ai _11
aiuto _1
al _25
al' _1
àlbari _3
àlbaro _2
alberghi _1
ale _1
alegria _1
alevà _2
al'infinito _1
al'insivile _1
al'intestin _1
almanco _2
alontanà _1
alora _12
al'ospedale _1
alsarse _1
alsava _1
alsemo _1
alta _1
altra _1
altre _2
altri _6
altro _7
al'ùltimo _1
amà _2
amare _1
amaregià _1
amesso _1
amicissie _3
amigo _4
amissi _4
amor _1
amore _3
analfabeta _1
anbiente _1
anbission _1
anca _43
anche _2
ancora _10
ànema _1
angelo _1
ani _28
animai _1
animalista _1
anime _1
ano _5
anonimo _1
ansi _1
ansiani _2
antenato _1
aparechi _1
aparente _2
apartien _1
apena _3
apertura _1
apressà _1
aprocio _1
aqua _2
arare _2
aria _1
arieta _1
arivederci _1
articoli _1
asienda _1
aspetà _1
aspetarse _1
assestà _1
assetà _1
assìstare _1
assolutamente _1
assuefassion _1
assurdi _1
atension _2
atenti _1
atento _1
atimin _1
atimo _5
àtimo _1
ativa _2
atività _1
ativo _1
atmosferico _1
ato _2
atrice _1
augura _1
auguri _1
aver _5
avere _3
averli _1
avissinava _1
avoltoio _1
bagalio _1
baghadad _1
bagno _1
balcani _1
bale _1
balete _1
balochi _1
banale _1
banditi _1
bar _2
barba _4
barbon _1
bareta _2
barete _2
barufando _1
barufe _2
baseto _1
baso _1
bassa _1
bassi _2
basta _2
bastardo _1
baston _1
bastonà _2
batarela _2
bate _2
batezà _1
becà _1
bechetare _1
bèchi _1
bèco _1
bèe _1
beh _1
bei _1
bèi _2
bel _1
belgio _2
belissime _1
ben _19
benefatori _1
beneficensa _1
bèo _1
bepi _9
berlusconi _1
bestia _2
bestie _3
bianche _1
bianchi _2
bianco _2
bigati _2
bisnona _1
biso _3
bisogna _6
bisognava _2
bisogno _3
boca _4
boce _3
boche _2
bocia _2
bocon _1
boja _1
bojìva _1
boleta _1
bon _3
bona _3
bonba _1
bonbardare _1
bonbe _1
boni _4
bonora _1
bonsenso _1
borsoni _1
bota _1
bòte _1
botega _1
braghe _1
brasseti _2
brasso _1
brassocolo _1
bravi _1
brentana _1
brila _1
brincà _1
bronbarte _1
broncopalmonite _1
brontolon _1
brosa _1
brosemade _1
bruta _2
brute _2
bruti _1
bruto _2
buganse _3
buon _1
butà _7
butare _1
buto _1
càdare _1
cadissi _1
cagneto _1
caivo _2
calà _1
calava _1
calcossa _9
calcosseta _1
caldeto _1
caldi _1
calo _1
calvario _3
càmara _1
camareta _3
camina _1
caminada _1
caminare _1
caminava _1
campi _1
camposampiero _1
can _5
canbia _1
canbià _1
canbiava _1
canbio _1
candela _1
cani _5
canpagna _2
canpaneli _1
canpanelo _2
canpi _9
canpionario _1
cantava _1
canton _1
capelini _1
capelo _1
capìa _1
capimo _1
capìo _7
capire _10
capissi _1
capisso _3
capita _1
capitava _1
capivimo _1
capivo _1
capo _1
capucino _1
cara _2
carà _1
carega _1
caregoto _2
caresse _1
caressemo _1
carga _1
cari _1
cariera _1
carità _3
carlo _8
caro _1
carta _3
carte _1
carteli _1
casa _26
case _2
casi _2
caso _1
cassa _1
casseto _2
castelo _1
cata _1
catarse _1
catarte _1
catava _1
catavimo _1
catechismo _1
cati _1
cativa _2
cativeria _1
cativi _3
cativo _2
cato _2
cavaliero _1
cavava _1
caveji _1
cedimento _1
centro _1
certe _1
certessa _1
cesso _2
ch' _1
charleroi _1
che _355
cheba _1
chel _5
ch'el _1
chi _13
chietà _1
chirurgo _2
chissà _6
ciàcola _1
ciacolada _2
ciama _2
ciamà _1
ciamare _1
ciamarse _1
ciao _2
ciapa _1
ciapà _4
ciapare _2
ciaparse _1
ciapava _1
ciape _1
ciapo _1
ciara _1
ciareti _1
cielo _6
ciesa _3
ciminiere _1
cinema _1
ciò _1
circo _1
circostansa _1
co _111
coa _2
coada _1
coava _1
cofà _1
col _12
colegà _1
colo _2
coloratissimi _1
colore _2
colori _2
colpisse _1
colpo _6
come _66
comenta _1
comercio _1
comete _1
comodi _1
comodità _2
comodo _1
comossion _1
comossìon _1
comóvarse _1
comune _1
comunion _1
comunque _1
con _7
concimare _1
condanà _1
confidensa _1
confini _2
confrontà _1
confrontando _1
confuso _1
congelamento _1
conóssare _2
conóssarse _2
conossemo _1
conossensa _1
conosseva _2
conossùa _1
conpagnà _3
conpagni _1
conpagnia _2
conpagnie _1
conpagno _4
conplicassion _1
conportamento _1
conprension _1
conseguensa _1
considerassion _1
consumà _1
conta _1
contava _1
contavimo _1
contentare _1
contento _2
continua _1
continuà _5
continuare _1
continuava _1
continuo _2
conto _2
contro _1
convìvare _1
convivensa _1
convogli _1
copando _1
copare _1
corajo _1
córare _2
còrare _1
corda _1
core _2
còre _14
corente _1
coreva _3
corone _1
corridoi _1
corte _2
cossa _4
cossate _1
cossiensa _5
costa _3
costà _1
costreti _1
costringendolo _1
cótola _1
còtola _1
coverzendo _1
coverzeva _1
creà _1
creava _1
crédare _1
crede _1
credime _1
credo _1
créssare _1
crèssare _1
cresse _1
cria _1
criada _1
crisi _2
cristian _1
criticare _1
criticasse _1
crolare _1
cronista _1
crucis _1
cultura _3
cumissia _1
cumissià _2
cumissiasse _1
cuore _5
cuori _1
cura _1
curare _2
curiosità _1
curta _1
curva _1
cusina _2
cussì _27
da _117
dà _5
d'acordo _1
dadrìo _1
daga _1
dago _1
dai _1
dal _13
dala _1
