Home > Text Tools >Compleat Lister Input > Output
--------------------------------------------------------------------------------

C:\Documents and Settings\Sapi\Desktop\testi_serafini.TXT
932748 bytes
173876 words (tokens)
ALPHA FREQ
ORDER
' _2
& _2
***** _1
**so _1
*ki _1
*la _1
*mì _1
+ _31
+carabineros _1
+la _1
= _66
>a _15
>e _3
>engoa _1
>ìsa _1
£a _123
£'albara _1
£'armenia _1
£'avidità _1
£e _80
£é _3
£è _3
£ega£i _2
£egàl _2
£engoa _3
£engoe _2
£engoistego _1
£'est _1
£i _28
£ì _4
£ibartà _1
£'ita£ia _1
£o _19
£'onbre£a _1
£ora _7
£ori _1
£'università _2
£uri _3
° _20
a _4638
a£a _20
a£arme _1
a£armi _2
a£e _4
à£e _2
a£eà _1
a£eansa _3
a£eati _2
a£eato _1
a£eàto _1
a£eemose _1
a£egà _2
a£ego _1
a£egria _2
a£ejerìsi _1
a£emagna _1
a£enarse _1
a£enarte _1
a£enè _1
a£esia _1
a£ex _1
a£i _4
a£ienasiòn _1
a£ife _2
a£imenta _10
a£imentà _2
a£imentar _2
a£imentàr _4
a£imentava _1
a£imente _1
a£imentemo _1
a£imenti _2
a£ineà _5
a£ita£ia _2
a£ojà _1
a£oji _1
a£ora _1
a£usinojeni _1
aa _5
abandonàr _2
abandono _1
abàtar _2
àbàtar _1
abatimento _1
abbb _1
abbiate _1
aberti _1
abi£ità _1
abitante _2
abitanti _9
abitasion _1
abiùro _2
abo£io _1
abondansa _1
abordabi£e _1
aborrivamo _1
abrasà _4
abrasàr _1
abraso _3
abràso _1
absolve _1
abuxi _1
ac _1
academega _2
academeghi _4
academego _1
acadèmia _1
academie _1
acadèmie _1
academisi _1
academismi _1
acanimento _1
acaparà _1
accademici _1
accaduto _1
accenna _1
account _2
acesi _1
acesori _1
acesòrie _1
aciaierìe _1
aco£iesto _1
acoa _1
acoapa _1
acoe _1
acolturar _2
acomodamintile _1
acomodante _1
acomodanti _1
aconpagnamento _1
acordi _11
acòrdi _1
acqua _18
acquisti _3
acreàr _1
acredità _1
acreditarse _2
acua _3
acumu£a' _1
acumu£à _1
acuratamente _1
acusarli _1
acuxà _3
acuxàr _1
acuxo _1
ad _10
adati _2
adàto _1
addirittura _1
adegoà _2
adescàr _1
adesso _3
adiritura _3
adolf _1
adolfo _1
adotà _3
adotar _1
adote _1
adriatego _1
adsl _1
adu£atori _1
adulta _1
adulti _1
adunata _1
adunate _1
adunàte _1
adùr _2
ae _3
ae£iminàr _1
aerei _5
aereo _6
aeroporti _7
aeroporto _1
aeternum _1
afamà _1
afano _1
afar _2
afàr _5
afarà _1
afàri _8
afarme _1
afermar _1
afermàr _1
afermasiòn _1
afesta _1
afeti _1
afèti _1
affi£o _1
afghani _2
afghanista _2
afghanistà _1
afghanistàn _1
afi£o _1
afianca _4
afiancamento _4
afiancaminti _6
afiancàr _3
afidà _1
afina _2
afinà _1
afinansa _1
afiti _3
afìti _1
afito _4
afìto _2
afrega _12
afregàn _1
afregaspagna _1
african _2
afro _1
afrontàr _3
afrontarìa _1
aga _1
age _2
aged _1
aghe _1
agli _1
agne£i _1
agno£eto _2
agnosteghi _3
agnostego _1
ago _1
agonixante _1
agostino _3
agosto _4
agravarse _1
agredìo _1
agresiòn _2
agresività _1
agresìvoghe _1
agri _2
agrico£a _2
agrìco£i _1
agricolturala _1
agro _1
agropontino _2
agropontio _1
agusin _1
agusìni _1
ah _1
ahoh _1
ai _307
aids _1
ain _3
aintervegnèr _1
aiutare _1
aiuto _2
ajensie _1
ajensìe _1
ajetivi _1
ajevo£asiòn _1
ajevoee _1
ajihad _1
ajìr _1
ajirarlo _1
ajise _1
ajorna _1
ajorno _1
ajunti _1
ajunto _1
ajuti _1
ajutituto _1
ajuto _1
akille _3
al _361
albanese _1
albanesi _1
albanexe _3
albania _7
albanìa _1
albanixi _8
albanìxi _3
albanìxica _1
albara _2
albergo _1
albinoni _1
àlbum _1
alburnà _1
alburno _4
alco£isi _1
alco£ixà _1
aldo _2
ale _2
al'estaro _1
alfa _1
alfabetixà _1
alfabetixarse _1
alfabetixasion _1
alfabetixasiòn _1
alfabeto _3
ali _2
al'interno _1
all _1
alla _2
allah _1
all'autocosiensa _1
all'autodeterminasiòn _1
alle _2
allende _1
all'immigrazione _2
all'ita£ia _1
allo _1
allodo£e _1
all'ordine _1
all'urna _1
almanco _37
alpe _2
alpìn _1
alpini _47
alpìni _7
alpinini _1
alpinità _1
alpino _5
alpni _1
alsà _1
alsando _1
alsàr _2
alsarme _1
alsase _2
alta _10
àlta _1
altamente _2
altare _1
alte _4
alter _1
alterà _1
alterna _1
alternansa _1
alternativa _1
alternativo _2
altesa _1
alti _13
altisime _1
alto _21
altra _8
altre _69
altretante _1
altretanti _2
altretanto _1
altri _72
altrimenti _2
altro _117
altruismo _2
alzando _1
alzarmi _2
am _3
ama _1
amà _1
àma _1
amase _1
ambasiate _1
ame _2
amerega _5
amereghe _1
america _9
amèrica _1
american _2
americàn _1
amerighe _2
amerike _3
amétar _3
amètar _13
ametarà _2
ametarìa _1
ametarlo _2
ameto _1
ametù _2
ameve _1
àmia _1
amicisia _1
amicisie _1
amico _2
amiga _1
amighi _17
amìghi _2
amigo _20
amìgo _11
àmigo _1
amigoke _1
aministradori _4
aministrasion _4
aministrasiòn _9
amio _1
àmio _2
amirasiòn _1
amiratori _1
amiratòri _1
ammendo£a _1
amnistìa _1
amnnistìe _1
amntignirme _1
amo _4
àmo _1
àmo£i _1
àmoi _1
amor _1
amòr _6
amore _2
amorixava _1
amortixà _1
amortixàr _1
amortixarme _1
amsterdam _2
an _2
ana£isi _2
ana£ixà _4
ana£ixando _1
ana£ixàr _5
ana£ixemo _3
ana£ixémo _1
ana£ixèmo _1
ana£ixi _29
ana£ìxi _2
anà£ixi _4
ana£òjìa _1
anacronisteghi _1
anacronistego _3
anafore _1
anagrafe _2
analfabeta _2
analfabeti _2
analfabiti _3
analtri _1
anarkega _1
anarkeghe _1
anarkeghi _6
anarkego _2
anarkìa _1
anarkisi _7
anàrkisi _1
anarkismo _1
anbasade _1
anbasadòr _1
anbasiata _6
anbasiate _6
anbasiatori _1
anbientàl _2
anbiente _7
anbigoetà _2
anbroxiàn _1
anca _550
ancà _1
ànca _20
anco _3
anco' _2
ancò _19
and _8
anda£usi _2
andàso _1
andati _1
andato _1
andemo _1
andò _3
andrea _3
andreatti _1
andreoti _1
ane _1
anemà _10
ànema _1
aneme _1
anemo _1
anesiòn _3
aneso _1
anetesti _1
ange£es _2
ange£i _1
angel _1
anglosasone _2
anglosàsoni _1
angu£o _1
angurie _1
angurìe _1
ani _294
anì _1
àni _153
anidride _1
aniki£imento _2
anikilìo _1
anikilìr _1
animà _1
anima£i _1
animà£i _1
anke _4
anna _1
annessione _1
annexed _1
anni+ _1
ano _27
àno _13
anonemà _1
anonimi _1
anonimo _1
ànopensate _1
anplia _1
anpliamente _3
ansi _77
ànsi _2
ansia _2
ansiani _2
antagonista _4
antagonisti _2
antegoera _3
antenati _4
anti _51
anti£ibera£i _2
anticlerica£ismo _2
anticomunista _2
anticonsumisti _2
antidemocradega _1
antidemocrateghi _2
antidemocratego _3
antiebraega _1
antiebraismo _2
antiextracomunitari _1
antifasisti _1
antiforesti _1
antiga _3
antìga _3
antigamente _2
antigay _2
antighe _2
antighi _5
antighì _1
antiglobal _2
antigo _1
antìgo _1
antiislam _2
antiistitusionàl _1
antiita£iani _2
antiita£iano _2
antikisimi _1
antiminoranse _2
antinari _4
antinàri _1
antine _8
antineparketi _1
antineparketilame£àr _1
antirasismo _1
antisanca _2
antisemita _2
antisemitismo _5
antisipà _3
antisipàr _1
antiso£idal _2
antistorego _1
antiteroni _1
antiterorismo _1
antiteteghi _2
antivenete _1
antiveneti _1
antivenetismo _1
antoca _1
antonio _2
antropo£ojico _1
anua£e _2
anua£i _1
anuàl _2
anuàlsicuramente _1
anunsi _2
anuo _1
ànuo _1
anziani _2
anziàno _1
aomenta _1
aomentà _1
aomentar _1
aon _1
apalti _1
apalto _1
apanajo _1
apar _1
aparati _1
aparato _1
