Home > Text Tools >Compleat Lister Input > Output
--------------------------------------------------------------------------------

C:\Documents and Settings\Sapi\Desktop\veneto_wiki.TXT
42383 bytes
7204 words (tokens)
ALPHA FREQ
ORDER
' _2
* _1
= _3
=xera _1
£ _3
£a _267
£à _1
£abrador _4
£agunar _2
£atin _4
£atina _1
£atino _1
£azsio _1
£e _149
£egalmente _1
£eje _1
£engoa _3
£éngoa _22
£éngoagi _1
£engoe _2
£éngoe _8
£engua _2
£éngua _24
£éngue _3
£enguìstega _3
£etara _1
£étare _4
£èto _1
£i _1
£ibara _2
£ìbari _1
£ibartà _1
£ibro _1
£igamenti _1
£iteratura _2
£o _3
£onghe _3
£ónghe _1
£óngo _1
£ori _3
° _1
· _82
a _97
'a _1
ª _2
à _1
a£a _1
a£aska _1
a£eutine _1
a£ievi _1
abugida _1
ac _1
academico _1
acénti _1
açento _1
acetà _1
acuto _1
àdexesüdtirol _1
adizsiona£e _1
adotà _4
adotar _1
aerea _1
afinità _1
africa _1
agir _1
aglutinante _1
agreement _1
agricultura _1
agro _1
ai _5
aiuto _1
al _38
àlbaro _4
alberto _2
alfabetico _1
alfabètico _1
alghero _1
algune _1
alguni _1
alighieri _1
almanco _2
alterna _1
alternative _3
alternativo _11
altra _1
altre _18
altri _8
alveo£are _1
amichevole _1
aministrativi _1
ànara _1
anbito _2
anca _37
ancó _4
ancor _2
ancora _2
and _1
andemo _1
andrea _1
angelo _1
angonia _1
ani _7
anonimo _2
anpia _1
antichità _1
antico _1
antigo _1
aplicae _1
apòstrofo _1
aprosimativamente _1
aprovà _2
apunto _1
ar _1
arbitrarie _1
arborea _2
arcaici _1
archio£ogìa _1
architetura _1
area _2
aree _3
arithmetic _1
aro _1
arrivando _1
arsenal _1
arte _2
artico _2
artico£ae _1
artico£azsion _2
artico£i _1
artico£o _3
asente _1
asimilà _1
asiste _1
aspirà _1
astegnúi _1
astronomìa _1
ati _1
atimo _1
atività _1
atua£e _1
atuàl _1
atuazsion _1
au£ici _1
autor _2
autori _1
auxi£iari _1
avea _1
averténzse _1
b _1
ba£a _6
ba£o _1
ba£on _1
ba£ota _1
babilonia _2
baffin _2
baia _3
balocco _1
bar _1
barbarani _1
barca _1
basa _1
baschi _1
basco _1
baso _1
basta _1
bastiema _1
batù _1
bauco _1
baxa _1
baxà _2
baxamento _1
baxava _1
baxe _3
baxiche _1
bay _1
bazin _1
be£a _1
be£un _1
be£unéxe _2
belloni _1
belo _1
belumat _7
ben _2
benvegnui _1
beolco _1
bergamasco _1
bergamo _1
bèrghem _1
berto _1
bevùo _1
bi£abia£e _1
biagio _1
bibia _1
biblioteca _1
biografìe _1
biologìa _1
bira _1
bisdrùcio£e _1
bisiac _1
bixiaco _1
bixogna _1
bixogno _1
boaretti _1
bolzan _1
bona _3
bòni _1
bonifica _1
bonificar _1
borgata _1
borghexia _1
botega _1
brasil _1
brasileiro _2
braxi£ian _1
braxil _4
braxileiro _1
brescian _1
bresia _2
bricolage _1
bro£o _2
brojo _1
brunelli _1
brusà _1
bruzene _1
c _5
c' _1
cà _1
calche _8
calchedun _1
calchidun _1
calcosa _1
cambiale _1
cana£eta _2
canada _5
canadexe _4
canadexi _1
canal _1
canbia _1
canbiar _1
canbio _2
canepari _1
canpagna _2
cantièr _1
canzson _1
capirse _1
capise _1
carataristiche _1
caratarìstiche _4
carateri _5
carateristica _1
carestia _1
carlo _1
carta _1
carte£o _1
casa _1
casanova _2
cascà _1
castel _1
cata _4
cata£an _1
cata£ogo _1
catar _4
catarina _4
categoria _2
categorìe _1
cau _1
cavà _1
cava£o _1
caval _1
cavin _1
caxa _2
caxi _4
caxo _5
ce _1
cecco _2
ceco _1
celesti _1
çentenara _1
çentra£izar _1
çerca _1
çerte _3
çerti _4
certo _1
çerto _2
ceste _1
chaochau _1
chat _1
che _127
che'l _2
chi _9
chìmega _1
chipewyan _1
chipilense _1
chipilo _4
chìpilo _1
cho _1
ci _1
ciàco£e _7
ciamà _3
cianta _1
ciao _9
ciào _1
ciapa _2
ciar _1
ciare _2
ciavo _1
ciclomotore _1
çilosia _1
cìnema _1
cio _1
cioè _4
cior _1
cioxoto _1
cioxòto _1
çirca _1
çità _1
citazsion _1
çivi£e _1
civitate _2
clase _2
clasi _1
clasifica _1
clasificà _1
clasificazsion _2
clìtico _1
co _31
co' _1
co£egamenti _2
co£eghè _1
co£onixar _1
coaxi _1
codexe _1
codifica _1
coerte _1
coesto _1
coexistenti _1
cofà _2
col _7
cólpa _1
comasco _1
come _63
comedie _1
comerci _1
comercia£e _1
comercia£i _1
comercia£izsà _1
comerciali _1
comercialmente _1
comision _1
comisionà _1
commons _1
comonità _1
componimenti _2
comprende _1
comunicativa _1
comunicazsion _1
comunità _6
comunque _2
con _6
concepìo _1
concesso _1
conceti _1
condivixe _1
cone£ianexe _1
conejanéxe _1
configurazsion _1
confin _1
confóndare _1
confrontarse _1
confuxo _1
coniugazsion _1
conose _1
conosesta _2
conosùa _2
conosùe _1
conosùo _1
conpagna _1
conpagne _1
conpagni _1
conpagnìa _1
conpagnie _1
conpagno _1
conpi£à _1
conpleso _2
conplicà _1
conplichè _1
conponente _1
conposto _2
conputer _1
conquista _1
conséjo _2
conservador _1
consìlia _1
consiste _1
consistenti _1
consonante _9
consonanti _5
consonantica _1
consumadori _1
cónta _1
contaminazsion _1
contato _1
contegnere _1
contentar _1
contenuto _2
contesti _1
contesto _2
contien _1
continuum _2
conto _1
cónto _1
contradistinto _1
contrario _2
contrati _1
contribuio _1
convenzsion _4
convenzsionalmente _1
convertir _1
convisù _1
coordinamento _1
corispónde _1
corso _2
corte _1
cortellazzo _1
cosa _1
cosienzsa _1
cosita _3
costa _1
coste _1
costiera _1
costituìo _1
costruir _2
coxina _1
creà _1
cree _3
crepà _1
cristianeximo _1
croate _1
croazsia _3
cuatro _1
cui _4
cultura _2
cultura£e _1
cultural _2
culture _1
cuoasi _1
curte _3
curti _3
curtìsima _1
d _2
da _86
dà _3
da£a _1
dacordo _2
dai _6
dal _31
dalmati _1
dalmazsia _2
d'amor _1
danexe _1
dante _1
dar _1
d'ard _1
darghe _1
dasea _1
daspó _1
databi£e _2
dati _1
davanti _9
de _290
dè _1
de£a _8
de£e _2
decixo _2
definizsion _1
deformasion _1
dei _24
del _58
della _5
dell'abbaco _1
dental _1
derito _1
deriva _5
derivàe _1
derivài _1
derivarìa _1
deso _2
dèso _1
destra _1
detà _1
determinativo _1
deventà _2
deventando _1
dh _1
dì _2
dia£eta£e _1
dia£eti _10
dia£eto _14
dial£eto _1
dialeti _1
dialogo _1
diaspora _1
dichiarazsion _2
didatiche _1
diéxe _1
difarente _3
difarenti _4
difarènti _2
difati _1
dificoltà _1
difuxa _2
difuxion _2
difuxo _1
dignità _1
dimostrazsion _1
dino _1
dir _3
dire _1
diretore _1
diriti _3
dirito _1
discorso _1
discusion _2
disendenti _1
disponibi£i _1
dispoxizsion _1
distanti _1
distìnguar _1
distìnguare _1
distinzsion _2
distribuìa _1
distribuzsion _2
dita _2
dite _1
divegner _1
divegnesto _1
diventae _1
diverse _3
diversi _2
diverso _1
dividar _2
dixarisia _1
dixe _5
dixegnà _1
dixendo _1
dizsionari _2
dizsionario _4
do _14
dò _2
documenti _1
d'oïl _1
dolce _6
dominante _1
dominio _1
dona _1
donazsioni _1
donca _6
dopara _5
doparà _11
dòpara _2
doparàe _1
doparando _1
doparar _4
doparare _3
dopararla _1
dopararlo _1
doparava _2
dopia _1
dopie _1
dopio _1
dopo _5
dopoguera _1
doprà _3
doprar _1
dos _1
dotai _1
dotori _1
dovarìa _2
dovù _1
doxento _1
drento _5
drio _3
drío _1
drìo _1
ducale _1
duplichè _1
dura _5
durante _4
e _187
é _1
è _7
e£ _1
e£enco _1
e£ezsion _1
e£itica _1
ecezsioni _1
economìa _1
edificio _1
educazsion _1
el _232
elencae _1
elenco _1
elitrònega _1
elle _1
èlo _1
emergenti _1
emigrài _1
emigranti _1
emigrazsion _2
emilian _1
émo _1
en _15
ençiclopedia _12
endustria _1
enfàtici _1
enformàdega _1
engegnerìa _1
entrà _1
entratenimento _1
èr _1
era _1
ergative _1
es _2
esar _3
èsari _1
esclamazsion _1
esenzsia£e _1
esenzsial _1
èser _2
eskimo _1
espandi _2
esponenti _1
espresi _1
espresion _2
esprimar _2
esprime _1
esterne _2
estinta _1
estrato _1
etnia _1
etnico _1
'èto _1
europa _1
europea _2
evanescente _1
evanesente _3
evans _1
exenpio _5
exerzsitarte _1
existe _1
extra _1
exu£i _1
f _1
fa _3
fabrica _1
fameie _1
fameje _1
famoxa _1
famóxa _1
famóxo _1
faq _1
far _3
fare _1
farisi _1
fasismo _1
fasista _2
fate _1
fato _2
fatori _1
favor _1
fazsilmente _1
fazso _1
fazzoleto _1
fè _1
febraro _1
feltrin _4
femini£e _1
femo _1
fenomeno _2
ferarexi _1
fero _1
fertilia _1
festa _1
fi£ogenexi _1
fi£oxofìa _1
fià _1
fin£andexe _1
fina£e _13
fina£i _8
final _2
finanzsa _1
fine _5
fini _1
finise _4
fioi _1
fiola _1
fiorentina _1
fis _1
fiscar _1
fiuman _1
fiume _1
fiuri _1
fìxica _2
fondazsion _1
fonetica _2
fonètica _1
fono£ogia _1
fòntego _1
fora _9
forèsti _2
foresto _2
forma _4
formà _6
fórma _4
formaio _1
forme _2
formè _1
fórme _6
formento _1
fornar _1
forsi _1
forte _4
fortemente _1
forti _1
fortunatamente _1
forzsa _1
fra _2
fraco _1
frade£anzsa _1
frade£o _1
framento _1
francesco _2
francexe _2
franche _1
franzsexe _2
fraxe _1
fricativa _1
friu£i _1
friul _2
friuli _1
fulminadi _1
furlan _1
fuse _1
fusie _1
futuro _1
fuxe _1
g _5
g+l _1
ga _44
gà _5
g'à _1
ga£ateo _1
ga£e _2
ga£o _2
galilei _1
galileiane _1
galileo _1
gati _1
gavarea _1
gavéa _1
gaver _1
gavese _1
gavrìa _1
generalmente _1
generazsion _2
genitori _1
geroglifici _1
gestia _2
ghe _31
ghé _1
gh'è _6
ghèra _1
giacomin _1
giacomo _2
gianna _1
giaponexe _1
giocattolo _1
giografìa _2
giotti _1
giro _2
giulia _1
giuridica _1
giuseppe _1
giusta _1
gl _1
glando£a _1
glifi _1
globo _1
gn _3
gnanca _1
gnancora _1
gnancóra _1
gnaro _1
gnente _1
godesto _1
goerno _1
goldoni _2
gorizsia _1
governo _1
gradexe _1
grado _2
grafia _2
grafía _2
grafìa _2
graixan _2
gramatica£e _1
gran _4
granda _3
grande _9
grandìsima _1
grando _3
grave _1
grazsie _2
greche _1
groen£andexe _2
groen£andia _4
groenlandexe _1
grosetana _1
groso _1
grupi _2
grupo _3
guaio _1
guida _1
gusti _1
gvu _4
gwich'in _1
h _2
hudson _3
i _116
ì _3
i'à _6
identificà _1
i'è _6
imbroglio _1
imo _1
in _189
inbrojava _1
incixion _1
inconpiú _1
incontra _1
incontri _2
indeterminativo _1
indica _3
indicar _1
indicava _1
indice _2
indici _1
indigeni _1
indo _1
indoeuropee _1
indove _1
infernali _1
infine _2
influenzsà _3
influenzsàndose _1
influenzse _3
informa£e _2
inglexe _4
ingrexe _1
inizsio _1
inparentade _1
inpedise _1
inperativo _2
inpiria _1
inportà _1
inportante _4
inportanti _3
inposto _1
inprezsion _1
insegnà _1
insegnamento _1
insegnante _1
insegnarghe _1
inserir _1
insieme _6
insonà _1
institute _1
inte _18
intel _2
inte'l _2
inte'n _1
intendea _1
interdenta£i _5
interdental _2
interdentale _1
interesante _1
internazsional _1
interogativa _1
interogative _2
interogativi _1
interogativo _1
intexi _1
intito£à _1
intranxitivi _1
introdur _1
int'un'epoca _1
inuinnaqtun _3
inuit _11
inuktitut _11
inupiat _1
inuvialuit _1
inuvialuktun _1
invariài _1
invezse _5
ipotecado _1
ironicamente _1
islandéxe _1
iso _3
istat _1
isteso _1
istituto _1
istria _3
istrian _1
istriani _1
istruzsion _1
it _1
ita£ia _8
ita£ian _7
ita£iana _4
ita£iane _4
ita£iani _2
ita£ianismi _1
ita£ianixazsion _4
ita£ico _1
italia _4
itàlia _1
italian _1
italiana _3
ix _1
ixo£a _2
ixo£e _1
james _2
jera _4
jerusalem _1
julia _2
jutarte _1
jùtene _1
kalaallisut _1
ke _4
klein _1
koinè _1
kra _1
kugaaruk _1
l _11
'l _6
l' _8
la _20
l'à _4
l'a£aska _2
l'acento _5
l'acénto _1
l'açento _1
ladin _1
ladino _2
l'agro _1
laguna _2
lagunar _1
l'alfabeto _4
l'alto _1
l'altra _1
l'altro _2
lamento _1
l'anbasiata _1
l'ànbito _1
l'anesion _1
l'anpezsan _1
laorar _1
l'apòstrofo _1
l'aprendimento _1
l'area _2
larghìsima _1
largo _1
l'aritmetica _1
l'arte _1
l'artico _1
lasa _1
lassa _1
latin _8
latine _1
l'atua£e _1
lazsio _1
l'dyrbal _1
le _9
l'è _34
l'educazsion _1
lege _1
l'emigrazsion _1
l'emilian _1
l'ençiclopedia _1
lengoa _6
léngoa _3
lengoe _1
lengua _3
lengue _1
l'eoropa _1
lepini _1
l'epoca _1
l'era _3
l'erba _1
l'ergatività _1
l'esenpio _1
lèsico _2
l'espansion _1
l'esprezsion _1
l'estero _1
leta _1
leterari _3
leteraria _1
l'etimologìa _1
l'evanesente _1
léxare _1
lexe _3
lexi _2
l'existe _1
leze _5
lezse _1
lezxe _4
libara _12
libari _1
libaro _2
libri _2
l'idea _1
l'identità _1
l'idioma _1
ligadure _2
ligure _1
l'iliade _1
l'imigrazsion _1
limità _1
l'incluxion _1
l'indica _1
l'indovine£o _1
l'inferno _1
l'informazsion _1
l'inglexe _2
l'ingléxe _1
lingua _2
l'inisio _1
l'inizsio _2
l'interdental _1
l'intiero _1
l'inuit _1
l'inukitut _1
l'inuktitut _8
liriche _1
l'islandexe _1
l'istà _1
l'istria _1
l'istrian _1
l'ita£ia _2
l'ita£ian _3
l'italian _4
l'ixo£a _2
l'nunavik _1
loca£i _1
loca£ità _1
local _1
lombardo _1
l'omo _3
lonbarda _1
lonbardo _1
longhe _1
l'opera _1
lore _1
lori _1
l'origine _1
l'ortografia _1
l'ostaria _1
luciano _1
lucro _1
l'ùltima _1
l'un _1
l'ungherexe _1
l'università _1
luri _1
l'uxo _2
l'viii _1
l'xx _1
m _2
ma _17
magazin _1
magioranzsa _3
magnar _1
màgnito _1
màgnitu _1
mai _2
major _1
majoranzsa _1
malatia _1
malé _1
maletan _1
man _1
manca _5
mancanzsa _1
manco _4
maniera _2
manièra _1
maniere _4
manlio _1
mantegnendo _1
mantegnesto _1
mantenimento _1
